LSOA code,LSOA name,Detached whole house or bungalow,Semi-detached whole house or bungalow,Terraced whole house or bungalow,"Flat, maisonette or apartment",A caravan or other mobile or temporary structure
E01000349,Bexley 020B,160,455,10,45,c
E01000350,Bexley 021C,c,325,170,30,c
E01000351,Bexley 024A,65,270,295,c,c
E01000352,Bexley 021D,55,245,140,275,c
E01000353,Bexley 011A,115,490,60,c,c
E01000354,Bexley 011B,10,335,145,135,c
E01000355,Bexley 011C,80,435,100,c,c
E01000356,Bexley 009A,35,540,20,55,c
E01000357,Bexley 009B,c,485,c,c,c
E01000358,Bexley 011D,35,345,115,200,c
E01000359,Bexley 009C,25,445,c,30,c
E01000360,Bexley 015A,75,195,205,345,c
E01000361,Bexley 020C,80,310,180,45,c
E01000362,Bexley 015B,80,355,105,325,c
E01000363,Bexley 020D,175,315,25,65,c
E01000364,Bexley 023A,100,390,20,155,c
E01000365,Bexley 015C,40,340,50,310,c
E01000366,Bexley 015D,45,340,195,115,c
E01000367,Bexley 010A,20,360,195,240,c
E01000368,Bexley 010B,c,385,95,155,c
E01000369,Bexley 014C,20,365,200,55,c
E01000370,Bexley 014D,100,350,110,100,c
E01000371,Bexley 014E,20,420,50,165,c
E01000372,Bexley 010C,30,430,45,105,c
E01000373,Bexley 008A,15,45,145,285,c
E01000374,Bexley 019A,15,340,180,c,c
E01000375,Bexley 019B,15,315,320,170,c
E01000376,Bexley 019C,20,320,235,65,c
E01000377,Bexley 019D,35,300,135,210,c
E01000379,Bexley 019F,75,335,215,60,c
E01000380,Bexley 010D,c,235,130,565,c
E01000381,Bexley 028A,35,350,70,230,c
E01000382,Bexley 027A,35,475,10,90,c
E01000383,Bexley 028B,130,355,110,50,c
E01000384,Bexley 027B,75,215,230,275,c
E01000385,Bexley 028C,20,190,265,330,c
E01000386,Bexley 028D,10,85,140,435,c
E01000387,Bexley 027C,30,525,30,55,c
E01000388,Bexley 016A,100,475,30,20,c
E01000389,Bexley 020E,150,235,80,275,c
E01000390,Bexley 020F,85,280,95,65,c
E01000391,Bexley 021E,c,340,310,c,c
E01000392,Bexley 016B,10,200,115,485,c
E01000393,Bexley 020G,30,285,295,40,c
E01000394,Bexley 015E,45,300,125,245,c
E01000395,Bexley 018B,15,425,90,20,c
E01000396,Bexley 018C,c,240,265,c,c
E01000398,Bexley 029A,25,400,195,c,c
E01000399,Bexley 029B,55,410,40,150,c
E01000400,Bexley 029C,15,460,30,115,c
E01000401,Bexley 013A,15,365,145,195,c
E01000402,Bexley 005B,75,120,130,350,c
E01000403,Bexley 004A,50,210,90,800,c
E01000404,Bexley 004B,20,50,180,820,c
E01000405,Bexley 004C,30,165,335,115,c
E01000406,Bexley 005C,40,190,340,250,c
E01000407,Bexley 005D,140,240,150,250,c
E01000408,Bexley 004D,45,135,390,35,c
E01000409,Bexley 016C,10,645,c,c,c
E01000410,Bexley 018D,20,230,325,40,c
E01000411,Bexley 016D,c,265,290,c,c
E01000412,Bexley 018E,25,300,250,85,c
E01000413,Bexley 018F,c,235,255,45,c
E01000414,Bexley 016E,45,400,50,285,c
E01000415,Bexley 016F,25,465,30,c,c
E01000416,Bexley 002A,40,140,300,60,c
E01000417,Bexley 006B,85,240,75,335,c
E01000418,Bexley 002B,105,155,315,195,c
E01000419,Bexley 006C,20,395,180,15,c
E01000420,Bexley 006D,60,375,85,95,c
E01000421,Bexley 009D,25,565,20,c,c
E01000422,Bexley 002C,15,30,110,405,c
E01000423,Bexley 025C,20,545,10,50,c
E01000424,Bexley 026A,205,180,45,350,c
